timestep,AUT,BEL,BGR,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,IRL,ITA,LVA,LTU,LUX,NLD,POL,PRT,ROU,SVK,SVN,ESP,SWE,GBR,ALB,BIH,MKD,MNE,NOR,SRB,CHE
2016-06-19 11:00:00,0.30369702706207,0.43740220640226135,0.42511168843193464,0.3306422973322942,0.5496182977721986,0.3292721722992489,0.416644347077308,0.2961010312784734,0.2385893970641299,0.46425567563114434,0.40074665754464983,0.4317455373417612,0.3105522178271058,0.19741104543161395,0.3652933391898589,0.3816704489394397,0.39546935574917347,0.440700947681588,0.43405854764780855,0.3921925223208064,0.5510479694014743,0.377109000737242,0.43028725390600775,0.33847881642831423,0.5571954685049596,0.2992241248136165,0.2784645152875811,0.44409788566304037,0.33956243569088285,0.32046931849853,0.4776467679040675,0.3013754207795193,0.39362538225527427,0.3790145096166741
2016-06-19 12:00:00,0.30605248493851006,0.43164795066427863,0.3629423830869446,0.3318928779783848,0.5003671692485978,0.28638101442386377,0.40335905923441623,0.29913623223219427,0.2213187412049706,0.4608219959928129,0.3897001740702128,0.3801981041802469,0.24869004874195638,0.19618602345578642,0.34632247295675417,0.36815596330860917,0.37946411486888565,0.45334098809323004,0.434707205171747,0.37116823695009216,0.5568958353351029,0.336653093312642,0.37099184696395493,0.31852675036100914,0.5532773034880875,0.28230384208046877,0.2608928109704212,0.4094410372098574,0.31077422377166714,0.23414451255112445,0.41511348775923107,0.293831425262213,0.3486209987142387,0.37487290706050697
2016-06-19 13:00:00,0.2797490270578372,0.42225981504765703,0.2848620631650226,0.2656489223140257,0.42728469573273936,0.26416697892214314,0.3794633260348176,0.287434555637103,0.19446755468911495,0.44277771842317143,0.3678976565693443,0.31828821891214554,0.1835431405845936,0.19444655602457853,0.29753879707468794,0.34788379679050874,0.3539496484165396,0.450665134265107,0.42067653265267363,0.33476512131680713,0.545038231657785,0.285914236474653,0.296614779610028,0.25826216695171034,0.5302803933964177,0.26530984365956023,0.23166541474870125,0.38043261451445115,0.21701718980985657,0.21065237755348898,0.34865646687109336,0.28107000900242163,0.2530797305013248,0.3628721225509833
2016-06-19 14:00:00,0.22013356180947916,0.3775202236557709,0.2056175350551652,0.20921790225396641,0.3304369456534954,0.23201340763705866,0.33599242955495356,0.26247593801962754,0.16964543107524044,0.4033721951739197,0.33089974561641183,0.24557823744337978,0.1450036834668171,0.1807636200674734,0.24317093234839418,0.3176024134593525,0.3197400513253785,0.42327954343814206,0.3832335060651761,0.28918104708068637,0.5148790242838134,0.22230297736940074,0.1423263922387749,0.16830963863606013,0.48972211066448773,0.2374596569787686,0.19106720813984532,0.33164950582826375,0.14689111822947534,0.18670957690346887,0.28207031437769226,0.25988000779352405,0.15277397553755312,0.3349189660262425
2016-06-19 15:00:00,0.15626007609291281,0.33155656486240165,0.13377779884761354,0.14910305870306206,0.20403752566026367,0.132730740276073,0.2723393153448907,0.22171305649748144,0.1382630144365863,0.3424144855394231,0.28017384007055063,0.1609785191903813,0.10540747393163373,0.16569399165873905,0.19152318703853974,0.2667956305087232,0.26712006944298716,0.3746538649017558,0.3398533385524467,0.21472077673860135,0.46703903820202547,0.14545119603090448,0.06935455513010132,0.10641717525454447,0.4326323009030338,0.2093401689974649,0.14433966935624593,0.229221649646641,0.11934383653777765,0.1459071836634152,0.22801374369506955,0.234820959317024,0.09834164884482634,0.2889017058280535
2016-06-19 16:00:00,0.09820961091871092,0.2535464798709814,0.06246498184520655,0.07278648092775021,0.054480794648795156,0.07669425071604435,0.18870403968001248,0.17094578392340976,0.10570822105732071,0.2515876952802742,0.1992773985165486,0.0779913086868371,0.05272880325414807,0.1527179592318048,0.1327092830441996,0.2151870363271706,0.2027682350661959,0.30664714498029033,0.26800944557107587,0.12244704020160399,0.40169480873458807,0.06769944811967067,0.04609015608743173,0.06793510510064316,0.35839780708901714,0.16784786886745257,0.10681131242512402,0.11300985774155614,0.07284350749775877,0.07317164863511141,0.14533266762347632,0.2061142008883829,0.06018855591851033,0.21327389695826174
2016-06-19 17:00:00,0.041255403227494464,0.16107085068329297,0.008642268429953302,0.026273187171821154,0.0,0.04481005041275606,0.11360388417598676,0.10760941417340457,0.06893322886310387,0.14984899477166047,0.11818833325230277,0.01122482151610548,0.015611769436128351,0.11925418781455495,0.0645098398363469,0.13713524241655872,0.11161139364699116,0.18856433865880837,0.18151465553754864,0.05439524024612004,0.317387842793294,0.010466199674003768,0.020327888574108284,0.03724675713254779,0.2670298364725676,0.12357865173579587,0.07048615707831354,0.022840115722565026,0.02253900429695761,0.01975422037226299,0.03273825467357197,0.17202094024802836,0.020161973841469772,0.117274384954772
2016-06-19 18:00:00,0.005332158969048411,0.08108302578238248,0.0,0.0010817167725491717,0.0,0.01023731573022957,0.05522513372195737,0.040073784614145756,0.032040231045136744,0.06429271471928685,0.04704721187993081,0.0,0.0,0.06885719632111126,0.009842717607359294,0.04215599498977652,0.025683260879278295,0.07645398205353397,0.0896668672701656,0.011155338676046223,0.20897777651498897,0.0,0.0,0.003203052382644484,0.15359550386177664,0.074400699489633,0.03385837051182776,0.0,0.0,0.0,0.0,0.12610136514356404,0.0,0.034748488128025626
2016-06-19 19:00:00,0.0,0.012934003770173761,0.0,0.0,0.0,0.0,0.010107148759650896,0.0,0.006940023932939287,0.004882015212269628,0.0021724798043184688,0.0,0.0,0.024269524192701057,0.0,0.0,0.0,0.00607816103786044,0.014104744570710995,0.0,0.0663192135881161,0.0,0.0,0.0,0.026564152772076993,0.02738491781576926,0.008778894914951525,0.0,0.0,0.0,0.0,0.06846920543729765,0.0,0.0
2016-06-19 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001065030341956672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028614215776450284,0.0,0.0,0.0,0.0,0.0,0.015733439195064355,0.0,0.0
2016-06-19 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022256083790742442,0.0,0.0
2016-06-19 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001645972263731194,0.0,0.0
