timestep,AUT,BEL,BGR,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,IRL,ITA,LVA,LTU,LUX,NLD,POL,PRT,ROU,SVK,SVN,ESP,SWE,GBR,ALB,BIH,MKD,MNE,NOR,SRB,CHE
2016-10-12 05:00:00,0.0,0.0,0.02662429163627574,0.003656818783869826,0.10990770881117808,0.0,0.0,0.01026539322375936,0.0023126072118652683,0.0,0.0,0.0663275361045255,0.004540948864679106,0.0,0.004647392600335844,0.017160267330911243,0.011663336060697718,0.0,0.0,0.0,0.0,0.007413374701699001,0.004462660394803522,0.003167409509128512,0.0,0.0,0.0,0.012790285806942716,0.0035370617138652323,0.024091190386676002,0.008239668380399126,0.0,0.004110265629925977,0.0
2016-10-12 06:00:00,0.057625589646805295,0.0017162202323967384,0.11713381021925912,0.08465468444103447,0.26447861721617694,0.01783462719260809,0.011834244368869989,0.08047068026441281,0.03539932129564007,0.012524652592815757,0.0194248260437456,0.24503747224053396,0.050408763686778824,0.0,0.1383702563556142,0.11419504854541392,0.08722576102093836,0.002875284063477668,0.008260178712298142,0.018049649350179393,0.0,0.041244843989783515,0.0533771150114228,0.13652007194975077,0.0013186002038677973,0.025316129083122065,0.0,0.08691572047677361,0.05648540400141188,0.13834431382912057,0.10082034643563403,0.018585608853367293,0.02871234897813417,0.06246823832380837
2016-10-12 07:00:00,0.17512908530828297,0.03582406562168401,0.24147531582359208,0.21121407193606856,0.4351030621198687,0.058587456213259115,0.08698339360518935,0.18977335458636183,0.09100849597298137,0.10929382937998991,0.09586804324674852,0.4215302071535449,0.12798620874085095,0.010917422623365673,0.36054439883682027,0.27212513232422664,0.20619480964526196,0.03396042867712238,0.0956869567511754,0.04943945909234961,0.006786599952330017,0.08383945047649889,0.13134029821459434,0.35533036228754883,0.03553667831390284,0.12387385292376092,0.03268949510627282,0.22683029949378178,0.15553323805653477,0.30696951130058014,0.26378998571380075,0.13731166656559426,0.05791913435276413,0.2591085135894418
2016-10-12 08:00:00,0.2979074790240936,0.09509077226610801,0.31256213037092223,0.3415421483021372,0.5625781966727934,0.10579696178781353,0.18356036462675698,0.33262092413343164,0.15084829600624317,0.2561479925927025,0.2116116079460376,0.5349336850189278,0.21692618816407744,0.09940294898571715,0.5342851167778142,0.42830271687850824,0.31880573470862383,0.0909856920392984,0.2758641838021838,0.08153304742873582,0.05508130619147947,0.11059065165406191,0.21947352491068828,0.5297919766681027,0.09631686634155173,0.25767090022514355,0.14209136141485817,0.3944877218921166,0.25696498939276463,0.47229877236061973,0.4141191614617352,0.27249399466985313,0.0906846168784899,0.46160671494145666
2016-10-12 09:00:00,0.3816911884572171,0.1920972964814032,0.3317514741364509,0.43667366177928546,0.6037819222548113,0.153204115769582,0.28996102905498194,0.507838522214728,0.20442807946972555,0.378882040401482,0.32983818386977587,0.5945615689532867,0.2877992940504735,0.24071808728045307,0.6491037467337593,0.62358337537761,0.44310367091805464,0.2353204931161058,0.4253218337125899,0.10242386471140706,0.1431864867949039,0.11471216540844886,0.2703627437360495,0.6304744069791337,0.15650832110441498,0.3733808337232723,0.2807136313109129,0.5297162373765234,0.3567564965845662,0.5600045631813174,0.5303247086710544,0.3760808902718595,0.12620965206064685,0.6542541725692606
2016-10-12 10:00:00,0.44846149612291186,0.3282878516620091,0.3579847392959948,0.48633552456257584,0.5826953531465098,0.19371975464103885,0.3330764225920069,0.5522954451823773,0.23944145062078975,0.46122668674570205,0.3807075123949728,0.6095713237325943,0.3045151947456824,0.39520425631518136,0.7113054840895348,0.665911998694876,0.5523442905411317,0.4901612476484501,0.48090183974929024,0.10642141413926356,0.2351822339243418,0.11651047448724106,0.3090907607219889,0.6647470104295854,0.19528499621503656,0.44255667943101573,0.41492122426676814,0.615187634062974,0.4249344403478498,0.5894820272425587,0.6507532392425792,0.43709906159696754,0.1717376210517413,0.7295266097098286
2016-10-12 11:00:00,0.47950664470255244,0.42952702582832075,0.3548698459921198,0.495711319921931,0.5177166342119218,0.24705604302255146,0.3231387716671926,0.5501844752394259,0.2353250108797985,0.4864894211428028,0.3964655761094747,0.5950987050495092,0.24635427613908803,0.5392110261010331,0.7233588177304984,0.6391014834981539,0.5933153864445184,0.5180499527311222,0.531214913122104,0.09660146086486769,0.28640129749514076,0.10856735942429532,0.29568992023000046,0.6268467794052909,0.2106654304047094,0.45770399723049143,0.45099204345029964,0.6362091996900454,0.44174690700436126,0.5831942752954027,0.6875256358813827,0.4578002257140581,0.20330405242497876,0.7446388678874938
2016-10-12 12:00:00,0.4652287219406359,0.4358268906669056,0.3028305231568249,0.4661773891638477,0.3984057932551166,0.24010104065174417,0.28177150854865746,0.49173086177878644,0.2009506845466568,0.45265893222334236,0.3804823991557911,0.533276572789478,0.16269267982795044,0.5864740682440143,0.6815368449616329,0.5523114484579755,0.5324271664111687,0.5018696988189442,0.4867090960951007,0.07788749434169123,0.31880049115612774,0.09574189468388361,0.22612099205285074,0.5595016716717693,0.19566553069811302,0.422448270648734,0.44950145060176244,0.5905422339888079,0.41603325205338554,0.5319467261632927,0.6444331130043598,0.43736480105675934,0.19779653745343975,0.7082643242886365
2016-10-12 13:00:00,0.39247881441610366,0.4064522080246448,0.22284741477613831,0.38913547329383846,0.2493612498989198,0.17178482001616713,0.21214303303565743,0.35866043176404444,0.12844642307829793,0.38716003418154543,0.32196962617715824,0.43008419257222996,0.09558273983199789,0.5746323001699026,0.5875972454757082,0.4065755545347508,0.39452547377233216,0.45970786900088123,0.4100593890970471,0.05598739899820119,0.3456687337822296,0.072687187543649,0.13009577765924804,0.46409342627950123,0.15611714225994264,0.33499589006204,0.4025268143186736,0.48911245202728654,0.3548889429327657,0.44167917322796046,0.5387927896763582,0.37373628931799674,0.16479553842529449,0.6216105230874347
2016-10-12 14:00:00,0.2723198150442429,0.3005082669459264,0.12203491749861911,0.2616501536639356,0.08933719968043019,0.10204500527695493,0.12916790034191228,0.17257938544257606,0.04366553182815428,0.28443177972415645,0.22092481986987736,0.2729947547423661,0.05210557739380536,0.5151203282874296,0.4344955973404556,0.21102878501426717,0.20590134558011278,0.3266439952502058,0.26881252324103555,0.030461923949850256,0.31442014735502355,0.037735415677920305,0.054229371267812,0.30495871096531774,0.11267044042934907,0.19773767644286078,0.3141766072872265,0.3253695189151856,0.2499869534870222,0.30208652727075563,0.37593269485946346,0.2698602925792735,0.11145790580921301,0.47059213141686845
